file_name,prompt
2nd Kimdaejung Convention Center_P_002.jpg,"a large white building sitting on the side of a road, conceptual rendering, in style of zaha hadid architect, by Zaha Hadid, architecture digest, zaha hadid style architecture, detailed renderings, in style of zaha hadid, architecture zaha hadid, zaha hadid architecture, iray, beautiful render of tang dynasty, dramatic rendering, zaha hadid building, award-winning render, architecture visualization"
2nd Kimdaejung Convention Center_P_003.jpg,"an artist's rendering of a futuristic building, conceptual rendering, detailed renderings, futuristic sport arena, detailed rendering, pritzker architecture prize, dramatic rendering, architecture digest, soccer stadium, detail render, in style of zaha hadid architect, iray, rendering of checkmate, sportspalast amphitheatre, art deco stadium, precise architectural rendering, artistic rendering, cg rendering"
2nd Kimdaejung Convention Center_P_004.jpg,"a group of people walking in front of a building, detailed renderings, conceptual rendering, imax render, rendering of checkmate, detailed rendering, dramatic rendering, artistic rendering, overall architectural design, architectural rendering, precise architectural rendering, architecture visualization, detail render, photoralistic rendering, artist impression, lumion rendering, a digital rendering, in style of zaha hadid architect"
Acro Seoul Forest Residence & Complex_P_002.jpg,"a couple of tall buildings sitting next to each other, dazzle camouflage, bold architecture, neobrutalist architecture, postmodernism style, pritzker architecture prize, dazzle camouflage!, metallic reflective surfaces, reflective chessboard, dazzle camouflage!!, award winning architecture, with shiny glass buildings, huge futuristic building, curvilinear architecture, futuristic building, checkerboard horizon"
Acro Seoul Forest Residence & Complex_P_003.jpg,"a street filled with lots of traffic next to tall buildings, full of clear glass facades, modern glass building, sleek glass buildings, full of glass facades, megatall building, transparent building, with shiny glass buildings, museum of modern art, artsationhq, photo courtesy museum of art, avetetsuya studios, multistory building, white map library"
Acro Seoul Forest Residence & Complex_P_004.jpg,"a group of cars driving down a street next to tall buildings, the neat and dense buildings, megabuildings, full of clear glass facades, high-rise buildings, apartment complex made of tubes, seoul, fully built buildings, high rise buildings, urban plaza, buildings photorealism, buildings covered with greebles, center model buildings, urban planning, compact buildings"
Acro Seoul Forest Residence & Complex_P_005.jpg,"a large city filled with lots of tall buildings, dezeen, stacked buildings, two giant towers, compact buildings, architecture award winner, high-rise buildings, seoul, apartment complex made of tubes, two organic looking towers, by Yi Jaegwan, concentrated buildings, center model buildings, circular towers, solid massing, sangyeob park"
Acro Seoul Forest Residence & Complex_P_006.jpg,"a couple of tall buildings sitting next to each other, tall building, endless forest of high buildings, emphasis on tall buildings, seoul, height 1 7 8, tokio aoyama, colossal tower, inspired by Tosa Mitsuoki, city high-rise, dezeen, skybridge towers, sangyeob park, forest setting with skyscrapers"
Acro Seoul Forest Residence & Complex_P_008.jpg,"a couple of tall buildings sitting next to each other, full of clear glass facades, seoul, with shiny glass buildings, concentrated buildings, sleek glass buildings, the hard and strong buildings, full of glass facades, solid massing, overwatch building, three towers, tall building, transparent building, epic buildings in the center, two giant towers, architecture award winner"
Almaty Sports Complex_P_002.jpg,"an aerial view of a city with a ferris wheel, an outdoor festival stage, city high-rise, detailed renderings, architectural rendering, rendering of checkmate, music festival, detailed rendering, artist impression, conceptual rendering, artists impression, traditional korean city, seoul, rendering of beauty pageant, megabuildings, high-rise buildings"
Almaty Sports Complex_P_003.jpg,"an aerial view of a soccer stadium at night, futuristic sport arena, soccer stadium, detailed renderings, stadium setting, stadium landscape, conceptual rendering, detailed rendering, sao paulo in the year 2 0 7 0, stadium, art deco stadium, futuristic sao paulo, rendering of checkmate, concept image, detail render, cg rendering, artists impression, sao paulo"
Almaty Sports Complex_P_004.jpg,"a group of people that are standing in front of a building, detailed renderings, detailed rendering, conceptual rendering, rendering of checkmate, sharp hq rendering, three - dimensional rendering, artistic rendering, chaotic riots in 2022, sao paulo in the year 2 0 7 0, a digital rendering, renderhub next2020, lumion rendering"
Almaty Sports Complex_P_005.jpg,"a tall building sitting on top of a lush green hillside, lumion rendering, detailed renderings, the great marble wizards tower, architectural rendering, renderhub next2020, detailed rendering, colossal tower, golden towers, the hard and strong buildings, tall building, megabuildings, transparent building, city high-rise, overall architectural design, architectural render"
Amore pacific Beauty 2 Campus_20180108105657198.jpg_1920.jpg,"a large building sitting on the side of a road, polygonal iron steel walls, dezeen, metal cladding wall, data center, futuristic sport arena, by Tadao Ando, architecture digest, overwatch building, in realistic data center, cyborg in the data center, extreamly detailed data center, analog data processing plant, inspired by Tadao Ando"
Amore pacific Beauty 2 Campus_20180108105657713.jpg_1920.jpg,"a large building sitting on top of a lush green field, industrial architecture, architecture digest, freddy mamani silvestre facade, archdaily, hangar, spaceship hangar, softair arena landscape, daniel libeskind, minimalist architecture, neobrutalist architecture, inspired by David Chipperfield, pritzker architecture prize, refrigerated storage facility"
Amore pacific Beauty 2 Campus_20180108105658417.jpg_1920.jpg,"a large building sitting on top of a lush green field, pritzker architecture prize, herzog de meuron, inspired by David Chipperfield, architecture digest, archdaily, minimalist architecture, industrial architecture, renzo piano, architecture magazine, black steel buildings, daniel libeskind, by David Chipperfield, data center, open wall architecture"
Amore pacific Beauty 2 Campus_20180110110827193.jpg_1400.jpg,"a white truck parked in front of a building, refrigerated storage facility, pritzker architecture prize, by Tadao Ando, extreamly detailed data center, architecture digest, polygonal iron steel walls, data center, architectural magazine, in realistic data center, industrial architecture, retaildesignblog.net, minimalist architecture, black steel buildings, trading depots"
Amore pacific Beauty 2 Campus_20180110110830412.jpg_456.jpg,"a couple of buildings that are next to each other, glass and metal : : peugot onyx, pritzker architecture prize, by Tadao Ando, archdaily, polygonal iron steel walls, medical research facility, inspired by David Chipperfield, rectilinear, architecture digest, renzo piano, cg architects, award arhitectural photography"
Amore pacific Beauty 2 Campus_2018022616133252711.jpg_456.jpg,"a building sitting on top of a grass covered field, metal cladding wall, freddy mamani silvestre facade, black steel buildings, by Tadao Ando, coper cladding, inspired by David Chipperfield, rough concrete walls, metal panels, pritzker architecture prize, industrial architecture, datacentre, passive house, herzog de meuron"
Amore pacific Beauty 3 Campus_2022110812492534842.jpg_1920.jpg,"a building with cars parked in front of it, aomori japan, analog data processing plant, in realistic data center, polygonal iron steel walls, data center, the palace of ai, full building, single building, extreamly detailed data center, corporate photo, retaildesignblog.net, retaildesignblog, modern technology building, plastic ceramic material"
Amore pacific Beauty 3 Campus_2022110812492570899.jpg_1920.jpg,"a large gray building sitting on top of a lush green field, heise jinyao, polygonal iron steel walls, industrial architecture, wide angle exterior 2022, fzd school of design, archdaily, datacentre, black steel buildings, dezeen, data center, industrial photography, analog data processing plant, architecture digest"
Amore pacific Beauty 3 Campus_2022110812492605236.jpg_1920.jpg,"a building with a parking lot in front of it, black steel buildings, polygonal iron steel walls, dezeen, dezeen showroom, analog data processing plant, ouchh and and innate studio, innate studio, fzd school of design, extreamly detailed data center, cg architects, metal cladding wall"
Amore pacific Beauty 3 Campus_2022110812492641151.jpg_1920.jpg,"a building that has some stairs in front of it, metal cladding wall, metal panels, artsationhq, glass and metal : : peugot onyx, barbizon school, polygonal iron steel walls, metal hard surfaces, architectural finishes, metallic reflective surfaces, exterior design, modern glass building, overall architectural design, black steel buildings, swiss modernizm"
Amore pacific Beauty 3 Campus_2022110812492677090.jpg_1920.jpg,"a group of people standing on top of a building, pritzker architecture prize, polygonal iron steel walls, architecture magazine, architectural magazine, architecture digest, cg architects, archdaily, japanese architecture, james turrell building, overall architectural design, shaft studio, avetetsuya studios, architecture award winner, dezeen showroom"
Amore pacific Beauty 3 Campus_2022110812492713080.jpg_1400.jpg,"a building with cars parked in front of it, anamorphic wide angle lens, anamorpic lens, analog data processing plant, black steel buildings, data center, wide angle exterior 2022, in realistic data center, extreamly detailed data center, cyborg in the data center, cyber architecture, architecture award winner, anamorphic 24 mm lens"
Amore pacific Beauty 3 Campus_2022110812492822383.jpg_456.jpg,"a building with a tree in front of it, heise jinyao, analog data processing plant, wide angle exterior 2022, corporate photo, high-tech environment, high tech industrial, herzog de meuron, dezeen, industrial photography, bio factory, industrial environment, behance hd, renderhub next2020, hcl"
Amore Pacific Daejeon Logistics Center_P_002.jpg,"a large building sitting on the side of a road, trading depots, warehouses, refrigerated storage facility, datacentre, lumion rendering, industrial architecture, precise architectural rendering, sharp hq rendering, warehouse, detailed renderings, megabuildings, architectural rendering, data center, detailed rendering, in realistic data center, extreamly detailed data center, architecture visualization"
Amore Pacific Daejeon Logistics Center_P_003.jpg,"a large building sitting on top of a lush green field, iray, detailed renderings, render corona, architecture visualization, lumion render, architectural rendering, architectural 3 d render, extreamly detailed data center, vue 3d render, detailed rendering, optane render, precise architectural rendering, vue render, cg architects, architectural visualization, datacentre, medical research facility"
Amore Pacific Daejeon Logistics Center_P_004.jpg,"a truck is parked in front of a building, trading depots, refrigerated storage facility, lumion rendering, warehouses, sharp hq rendering, architectural rendering, digital rendering, wide angle exterior 2022, a digital rendering, detailed renderings, conceptual rendering, precise architectural rendering, artists impression, iray, detailed rendering, cgworld, artist impression"
Amore Pacific Daejeon Logistics Center_P_005.jpg,"a parking lot filled with lots of parking spaces, trading depots, refrigerated storage facility, soft filtered outdoor lighting, commercial lighting, led floodlights, large commercial led screens, volumeric lighting, moonlit parking lot, metal panels, warehouses, accent lighting : : peugot onyx, set inside of parking garage, low spacial lighting : :"
Amore Pacific Daejeon Logistics Center_P_006.jpg,"a building with a car parked in front of it, large commercial led screens, corporate logo, company logo, coper cladding, huge viewscreen at front, fused aircraft parts, with merchant logo, large led screens, gorecore, the palace of ai, 5000k white product lighting, modern logo, flat shaped chrome relief, cyborg aircraft parts"
Amore Pacific Daejeon Logistics Center_P_008.jpg,"a large building sitting on the side of a road, refrigerated storage facility, trading depots, industrial architecture, data center, the hard and strong buildings, wide angle exterior 2022, in realistic data center, extreamly detailed data center, hangar, spaceship hangar, black steel buildings, warehouses, industrial light & magic, megatall building"
Amore Pacific Daejeon Logistics Center_P_009.jpg,"a building with a car parked in front of it, aomori japan, retaildesignblog, retaildesignblog.net, large commercial led screens, saitama prefecture, refrigerated storage facility, trading depots, with merchant logo, analog data processing plant, amano and olivier ledroit, packaging award, company logo, warehouse, full building, large led screens"
Amore Pacific Daejeon Logistics Center_P_010.jpg,"a truck is parked in front of a building, trading depots, refrigerated storage facility, industrial architecture, coper cladding, black steel buildings, warehouses, datacentre, the hard and strong buildings, william warehouse, metal panels, metal cladding wall, metal hard surfaces, exterior shot, industrial photography, industrial buildings, warehouse, concrete building, large commercial led screens"
Amore Pacific Gimcheon Logistics Center_P_002.jpg,"a red fire hydrant sitting on the side of a road, refrigerated storage facility, trading depots, by Tadao Ando, industrial architecture, retaildesignblog.net, retaildesignblog, dezeen, extreamly detailed data center, pritzker architecture prize, spaceship hangar, industrial photography, commercial lighting, architecture digest, fbx, data center"
Amore Pacific Gimcheon Logistics Center_P_003.jpg,"a large building sitting on the side of a road, avetetsuya studios, kyoto animation studio, extreamly detailed data center, kyoani studio, polygonal iron steel walls, black steel buildings, minimalist architecture, in realistic data center, coper cladding, data center, madhouse anime studios, metal cladding wall, minimalist structure, metallic architecture"
Amore Pacific Gimcheon Logistics Center_P_004.jpg,"a large white building sitting on the side of a road, aomori japan, analog data processing plant, saitama prefecture, retaildesignblog, retaildesignblog.net, hajime no ipo box fight, single building, in realistic data center, aniplex, company logo, full building, packaging award, refrigerated storage facility, corporate photo"
Amore Pacific Gimcheon Logistics Center_P_005.jpg,"a tree in a planter in front of a building, transparent glass surfaces, full of clear glass facades, modern glass building, medical research facility, school courtyard, large glass windows, overall architectural design, modern technology building, brutalist courtyard, research complex, exterior design, exterior shot, 1 3 3 4 building, architecture award winner, research center, reflective glass"
Amore Pacific Gimcheon Logistics Center_P_008.jpg,"a large white building sitting in the middle of a parking lot, aomori japan, analog data processing plant, retaildesignblog.net, retaildesignblog, bio factory, in realistic data center, industrial apparent, packaging award, fused aircraft parts, architecture digest, architectural magazine, refrigerated storage facility, company logo, fbx, trading depots"
Amore Pacific Gimcheon Logistics Center_P_009.jpg,"a building with a car parked in front of it, refrigerated storage facility, industrial architecture, trading depots, spaceport docking bay at night, overall architectural design, data center, terminal, datacentre, cosmoport, industrial photography, hangar, truss building, perforated metal, architecture award winner, complex architecture, modern glass building"
Ansan Sa-dong 90BL Knowledge Industrial Center_2018060520414891412.jpg_1920.jpg,"a very tall building sitting in the middle of a city, rendering of checkmate, sharp hq rendering, detailed renderings, full of clear glass facades, detailed rendering, conceptual rendering, architectural rendering, lumion rendering, renderhub next2020, dramatic rendering, multistory building, photoralistic rendering, detail render, precise architectural rendering"
Ansan Sa-dong 90BL Knowledge Industrial Center_201806052041494302.jpg_1920.jpg,"a group of people walking down a street next to tall buildings, sharp hq rendering, rendering of checkmate, renderhub next2020, lumion rendering, full of clear glass facades, sleek glass buildings, detailed renderings, detailed rendering, architectural rendering, lumion render, full of glass facades, conceptual rendering, architecture visualization"
Anseong Baudeogi Service Area_2020013009513467152.jpg_1920.jpg,"an aerial view of a parking lot at night, futuristic sport arena, soccer stadium, detailed renderings, art deco stadium, conceptual rendering, render corona, detailed rendering, stadium landscape, concept art 2022, artist's impression, stadium, futuristic marrakech, artists impression, rendering of checkmate, detail render, beautiful rendering, photoralistic rendering, future design"
Anseong Baudeogi Service Area_202001300951351243.jpg_1920.jpg,"a parking lot filled with lots of cars, conceptual rendering, futuristic sport arena, detailed renderings, rendering of checkmate, imax render, wide angle exterior 2022, detailed rendering, sharp hq rendering, spaceport, in style of zaha hadid architect, artist's impression, in style of norman foster, architecture digest, lumion rendering, photoralistic rendering"
Anseong Baudeogi Service Area_2020013009513543650.jpg_1920.jpg,"a large building sitting on top of a lush green hillside, lumion rendering, architectural rendering, lumion render, conceptual rendering, rendering of checkmate, detailed renderings, detailed rendering, digital rendering, architectural render, render corona, architectural visualisation, iray, photoralistic rendering, a digital rendering, architecture visualization, transportation design render, architectural 3 d render"
Anseong Baudeogi Service Area_2020013009513630044.jpg_1920.jpg,"a group of people walking around a building, detailed renderings, futuristic sport arena, artist impression, artists impression, artist's impression, conceptual rendering, rendering of checkmate, sharp hq rendering, detailed rendering, detail render, imax render, full of clear glass facades, in an arena in movie dune-2021, wide angle exterior 2022"
Anseong Baudeogi Service Area_2020013009513665960.jpg_1920.jpg,"a group of people walking around inside of a building, on a futuristic shopping mall, detailed renderings, bangkok townsquare, lumion rendering, food court in a mall, ice city in 2 0 8 0, detailed rendering, food court, post apocalyptic shopping center, vaporwave mall aesthetic, concept art 2022, amusement park interior design"
Anseong Baudeogi Service Area_2020013009513708121.jpg_1400.jpg,"a large building with a fountain in front of it, soccer stadium, futuristic sport arena, detailed renderings, art deco stadium, render corona, conceptual rendering, stadium landscape, concept image, rendering of checkmate, stadium, artistic rendering, detailed rendering, wide angle exterior 2022, artists impression, artist's impression, sleek utopian design, stadium setting"
Aquila City Ulsan U-Jung Innovation City_P_002.jpg,"a couple of tall buildings sitting next to each other, detailed renderings, lumion rendering, skybridge towers, detailed rendering, rendering of checkmate, skyscrapers and flying cars, sharp hq rendering, lumion render, photoralistic rendering, sleek glass buildings, concept image, futuristic tower, floating skyscrapers, tall metal towers, conceptual rendering"
Aquila City Ulsan U-Jung Innovation City_P_003.jpg,"a couple of tall buildings sitting on top of a lush green hillside, skybridge towers, detailed renderings, green architecture, skyscraper forest community, lumion rendering, detailed rendering, megabuildings, syndicate corporation, arsitektur nusantara, skyscrapers with greenery, high-rise buildings, highrise buildings, high rise buildings"
Aquila City Ulsan U-Jung Innovation City_P_004.jpg,"a couple of tall buildings sitting next to each other, lumion rendering, detailed renderings, skybridge towers, cg architects, lumion render, megabuildings, 3d architecture, shenzhen, overall architectural design, detailed rendering, zaha hadid style architecture, rendering of checkmate, mumbai in the future, three towers, high-rise buildings, iray"
"Asan Medical Center Center for Infection Control, Parking Building_2023010916180619872.jpg_1920.jpg","a couple of cars that are parked in front of a building, full of clear glass facades, modern glass building, multistory building, transparent glass surfaces, paler. millions of glass-walled, large glass windows, full of glass facades, transparent building, overall architectural design, sleek glass buildings, dezeen, architecture award winner, research complex"
"Asan Medical Center Center for Infection Control, Parking Building_2023010916180660463.jpg_1920.jpg","a building with a parking lot in front of it, full of clear glass facades, transparent corrugated glass, transparent building, research complex, transparent glass surfaces, multistory building, dezeen, medical research facility, cg architects, full of glass facades, building cover with plant, clean medical environment, vegetated roofs, modern glass building"
"Asan Medical Center Center for Infection Control, Parking Building_2023010916180697988.jpg_1920.jpg","a street filled with lots of traffic next to tall buildings, multistory building, artsationhq, lecture halls and gambling dens, rough concrete walls, modern lush condo as shopfront, polygonal iron steel walls, the neat and dense buildings, concrete building, avetetsuya studios, coper cladding, research complex, concert hall, metal cladding wall"
"Asan Medical Center Center for Infection Control, Parking Building_2023010916180743276.jpg_1920.jpg","a large building with a tree in front of it, accent lighting : : peugot onyx, pritzker architecture prize, architecture digest, low spacial lighting : :, archdaily, inspired by David Chipperfield, full of clear glass facades, award arhitectural photography, dezeen, glass and metal : : peugot onyx"
"Asan Medical Center Center for Infection Control, Parking Building_2023010916180812025.jpg_1400.jpg","an aerial view of a city with a river in the background, hospital background, research complex, medical research facility, seoul, research center, clean medical environment, lecture halls and gambling dens, hospital in background, traditional korean city, south korea, sangyeob park, the hard and strong buildings, cybernetic culture research unit, south korean male"
"Asan Medical Center Center for Infection Control, Parking Building_2023010916181032349.jpg_456.jpg","a couple of buildings that are next to each other, full of clear glass facades, medical complex, hospital background, medical research facility, avetetsuya studios, 1 3 3 4 building, clean medical environment, lecture halls and gambling dens, tokio aoyama, architecture award winner, overall architectural design, modern glass building, multistory building, medical lighting"
"Asan Medical Center Center for Infection Control, Parking Building_2023010916181060458.jpg_456.jpg","a street filled with lots of traffic next to tall buildings, lecture halls and gambling dens, multistory building, artsationhq, dezeen, research complex, white map library, rough concrete walls, hospital background, research center, concrete building, city environment, the neat and dense buildings, sangyeob park, building cover with plant, innate studio"
"Asan Medical Center Center for Infection Control, Parking Building_2023010916181088512.jpg_456.jpg","a very tall building with a lot of windows, by David Chipperfield, herzog de meuron, full of clear glass facades, inspired by David Chipperfield, pritzker architecture prize, renzo piano, by Peter Zumthor, metal cladding wall, perforated metal, medical research facility, paler. millions of glass-walled"
"Asan Medical Center Center for Infection Control, Parking Building_2023011313560843967.jpg_1920.jpg","a large glass building sitting on the side of a road, research complex, clean medical environment, research center, medical complex, sci - ci, architecture award winner, hcl, south korea, cl, cybernetic culture research unit, realisitc, medical research facility, south korean male, inc, hologram center, sci if, realisitc photo"
Autoway Tower_P_002.jpg,"a very tall building sitting on the side of a road, dezeen, zaha hadid building, architecture award winner, overwatch building, curvilinear architecture, pritzker architecture prize, parametric architecture, zaha hadid style architecture, full of clear glass facades, seoul, award winning architecture, architecture digest, architecture award winning, smooth architecture, zaha hadid architecture"
Autoway Tower_P_003.jpg,"a very tall building sitting on the side of a road, dezeen, pritzker architecture prize, architecture award winner, overwatch building, full of clear glass facades, curvilinear architecture, cg architects, smooth curvilinear design, smooth architecture, architecture award winning, sleek glass buildings, zaha hadid building, foster and partners, award winning architecture"
Autoway Tower_P_004.jpg,"a very tall building with a lot of windows, full of clear glass facades, sleek glass buildings, elegant walkways between towers, paler. millions of glass-walled, commercial lighting, architecture award winner, multistory building, overall architectural design, architecture digest, modern glass building, large glass windows, full of glass facades, high quality architectural art, cg architects"
Autoway Tower_P_005.jpg,"a walkway in the middle of a building surrounded by trees, by Jiao Bingzhen, inspired by Jiao Bingzhen, arborescent architecture, empty buildings with vegetation, branching hallways, chinese architecture, bamboo wood, pritzker architecture prize, vegetal architecture, landscape architecture photo, green architecture, sustainable architecture, vegetated roofs"
Autoway Tower_P_006.jpg,"a person is walking through a large building, elegant walkways between towers, paler. millions of glass-walled, commercial lighting, full of clear glass facades, sleek glass buildings, transparent glass surfaces, multistory building, floor - to - ceiling windows, clear glass wall, open wall architecture, large glass ceilings, low spacial lighting : :, overall architectural design"
Autoway Tower_P_008.jpg,"a very tall building with a lot of windows, glass and metal : : peugot onyx, accent lighting : : peugot onyx, pritzker architecture prize, full of clear glass facades, multistory building, transparent glass surfaces, impossible stijl architecture, splendid haussmann architecture, renzo piano, architecture digest, sustainable architecture"
Autoway Tower_P_009.jpg,"a very tall building with a lot of windows, pritzker architecture prize, modernist buildings, avetetsuya studios, brutalist architecture buildings, us court, inspired by Thornton Willis, simple brutalist architecture, foster and partners, the hard and strong buildings, central hub, inspired by David Chipperfield, neobrutalist architecture, modernism"
Autoway Tower_P_010.jpg,"a walkway in the middle of a building with lots of windows, full of clear glass facades, transparent glass surfaces, paler. millions of glass-walled, multistory building, medical research facility, sustainable architecture, interior architecture view, pritzker architecture prize, courtyard walkway, school courtyard, award arhitectural photography, open wall architecture, research complex"
Autoway Tower_P_011.jpg,"a group of people walking in front of a building, japanese architecture, full of clear glass facades, cg architects, architecture digest, impossible stijl architecture, multistory building, transparent building, impossible architecture, dense architecture, precise architectural rendering, neobrutalist architecture, integrated design, sharp hq rendering, foster and partners, paler. millions of glass-walled"
Banpo Ramian I-Park_201911041517192368.jpg_1920.jpg,"a group of tall buildings sitting next to each other, high-rise buildings, endless forest of high buildings, mass housing, high rise buildings, highrise buildings, city high-rise, skyscraper forest community, high rises, the neat and dense buildings, fully built buildings, compact buildings, height 1 7 8, floating buildings, tall metal towers, tall buildings"
Banpo Ramian I-Park_2019110415171959687.jpg_1920.jpg,"a train traveling through a city next to tall buildings, the neat and dense buildings, inspired by Victor Enrich, architecture photography, arhitectural shot, city high-rise, by Victor Enrich, multistory building, fully built buildings, futuristic sao paulo, buildings photorealism, cascading highrise, high-rise buildings, compact buildings, minimalist architecture, mass housing"
Banpo Ramian I-Park_2019110415171995582.jpg_1920.jpg,"a group of tall buildings sitting next to each other, the neat and dense buildings, mass housing, high-rise buildings, elegant walkways between towers, inspired by Victor Enrich, fully built buildings, by Victor Enrich, tall terrace, medium height, endless forest of high buildings, concrete housing, skybridge towers, city high-rise, compact buildings, housing architecture"
Banpo Ramian I-Park_2019110415172031477.jpg_1920.jpg,"a view of a city from the top of a building, aerial photograph of skyscraper, megacity streets seen from above, elegant walkways between towers, skyscraper forest community, aerial viewyoji shinkawa, endless forest of high buildings, aerial spaces, overhead photography, bird's-eye view, bird's - eye view, sky - high view"
Banpo Ramian I-Park_201911041517207360.jpg_1920.jpg,"a couple of benches sitting in front of a building, parks and public space, architecture award winner, radiant atmosphere, sangyeob park, inspired by Yi Jaegwan, sakimichan hdri, overall architectural design, in 2 0 1 8, jc park, inspired by Li Rongjin, dezeen, rich environment, traditional korean city"
Banpo Ramian I-Park_2019110415172119272.jpg_1400.jpg,"a group of tall buildings sitting next to each other, skyscraper forest community, endless forest of high buildings, the neat and dense buildings, elegant walkways between towers, megacity streets seen from above, landscape architecture photo, cascading highrise, a wide open courtyard in an epic, bird's-eye view, bird's - eye view"
Banpo Ramian I-Park_2019110415172231772.jpg_456.jpg,"a tall building sitting on the side of a road, height 1 7 8, medium height, shui mo hua, dezeen, shan shui, shenzhen, city high-rise, 1km tall, overall architectural design, cascading highrise, tall building, changquan, contemporary, modern lush condo as shopfront, cg architects, skybridge towers"
Banpo Ramian I-Park_2019110415172259852.jpg_456.jpg,"a group of tall buildings sitting next to each other, dezeen, skyscraper forest community, city high-rise, kowloon walled city style, sangyeob park, cascading highrise, skybridge towers, forest setting with skyscrapers, medium height, pritzker architecture prize, architecture award winner, arborescent architecture, seoul"
Banpo Ramian I-Park_2019110415172288053.jpg_456.jpg,"a child's play area surrounded by tall buildings, cascading highrise, city high-rise, sangyeob park, skyscraper forest community, high-rise buildings, enchanted forest tower, jc park, parks and public space, forest setting with skyscrapers, grassy autumn park outdoor, endless forest of high buildings, seoul, multistory building, modern neighborhood"
